City,Population
Chicago,2720546
Aurora,200661
Rockford,148278
Joliet,147861
Naperville,147100
Springfield,116565
Peoria,115070
Elgin,112111
Waukegan,88475
Champaign,86096
Cicero,83886
Bloomington,78292
Arlington Heights,75926
Evanston,75527
Schaumburg,74693
Bolingbrook,74306
Decatur,73254
Palatine,69308
Skokie,64821
Des Plaines,58677
Orland Park,58619
Tinley Park,57143
Oak Lawn,56781
Berwyn,56368
Mount Prospect,54747
Normal,54373
Wheaton,53715
Oak Park,52287
Hoffman Estates,52138
Downers Grove,49732
Glenview,47446
Elmhurst,45957
Lombard,43797
DeKalb,43211
Moline,42681
Plainfield,42527
Urbana,42311
Belleville,42034
Bartlett,41545
Buffalo Grove,41503
Quincy,40780
Streamwood,40554
Crystal Lake,40448
Carol Stream,40356
Romeoville,39719
Rock Island,38620
Carpentersville,38512
Hanover Park,38333
Wheeling,38079
Park Ridge,37757
Addison,37208
Calumet City,37031
Glendale Heights,34435
Oswego,33955
Northbrook,33663
St. Charles,33460
Woodridge,33370
Elk Grove Village,33238
Pekin,33223
Danville,32108
Mundelein,31582
Galesburg,31273
Gurnee,31056
Algonquin,30571
Chicago Heights,30284
Niles,29876
Highland Park,29743
North Chicago,29491
Burbank,29128
Granite City,29054
Lake in the Hills,29024
O'Fallon,29002
Lansing,28349
Glen Ellyn,28201
Oak Forest,28074
Round Lake Beach,27852
West Chicago,27447
Wilmette,27413
Alton,27003
East St. Louis,26790
Kankakee,26676
McHenry,26657
Batavia,26495
Carbondale,26399
Vernon Hills,26314
Huntley,26005
New Lenox,25800
Melrose Park,25379
Harvey,25194
Woodstock,25189
Lockport,25175
Belvidere,25132
Edwardsville,24992
Westmont,24941
Elmwood Park,24840
Collinsville,24754
Freeport,24476
Homer Glen,24395
Rolling Meadows,24190
Zion,24117
Maywood,24012
Blue Island,23652
Loves Park,23455
Morton Grove,23448
Dolton,23197
East Peoria,23080
Roselle,22994
Lisle,22964
Machesney Park,22927
South Elgin,22365
Darien,22256
Bloomingdale,22254
South Holland,22043
Villa Park,21969
Park Forest,21954
Geneva,21806
East Moline,21350
Charleston,21196
Crest Hill,21153
Grayslake,20915
Libertyville,20436
Lake Zurich,19993
Mokena,19923
Evergreen Park,19841
Montgomery,19489
Lake Forest,19408
Homewood,19373
Alsip,19346
