County,Population
Cook County,"5,203,499"
DuPage County,"929,368"
Lake County,"703,047"
Will County,"689,529"
Kane County,"531,715"
McHenry County,"307,004"
Winnebago County,"285,873"
Madison County,"265,759"
St. Clair County,"262,759"
Champaign County,"208,419"
Sangamon County,"197,499"
Peoria County,"185,006"
McLean County,"172,418"
Rock Island County,"144,784"
Tazewell County,"134,385"
Kendall County,"124,695"
LaSalle County,"110,642"
Kankakee County,"110,008"
Macon County,"106,550"
DeKalb County,"104,528"
Vermilion County,"78,111"
Williamson County,"67,560"
Adams County,"66,578"
Jackson County,"58,870"
Whiteside County,"56,536"
Boone County,"53,503"
Coles County,"52,343"
Ogle County,"51,273"
Knox County,"50,938"
Grundy County,"50,437"
Henry County,"49,280"
Macoupin County,"45,908"
Stephenson County,"45,624"
Franklin County,"39,156"
Woodford County,"39,140"
Jefferson County,"38,460"
Marion County,"38,140"
Clinton County,"37,729"
Livingston County,"36,526"
Fulton County,"35,536"
Effingham County,"34,386"
Morgan County,"34,277"
Lee County,"34,251"
Monroe County,"34,068"
Bureau County,"33,359"
Christian County,"33,309"
Randolph County,"32,621"
McDonough County,"30,996"
Logan County,"29,527"
Montgomery County,"28,952"
Iroquois County,"28,334"
Saline County,"24,307"
Jersey County,"22,025"
Fayette County,"21,789"
Jo Daviess County,"21,770"
Shelby County,"21,717"
Perry County,"21,357"
Douglas County,"19,630"
Crawford County,"19,308"
Hancock County,"18,508"
Edgar County,"17,566"
Warren County,"17,378"
Union County,"17,212"
Bond County,"16,824"
Piatt County,"16,560"
Wayne County,"16,396"
Lawrence County,"16,377"
De Witt County,"16,226"
Pike County,"15,950"
Clark County,"15,938"
Richland County,"15,930"
Mercer County,"15,730"
Moultrie County,"14,827"
Massac County,"14,658"
Carroll County,"14,539"
White County,"14,292"
Washington County,"14,154"
Ford County,"13,575"
Mason County,"13,507"
Clay County,"13,300"
Greene County,"13,093"
Johnson County,"12,902"
Cass County,"12,676"
Menard County,"12,516"
Marshall County,"11,939"
Wabash County,"11,492"
Cumberland County,"10,858"
Jasper County,"9,536"
Hamilton County,"8,061"
Schuyler County,"6,923"
Henderson County,"6,869"
Brown County,"6,762"
Edwards County,"6,523"
Alexander County,"6,478"
Stark County,"5,776"
Pulaski County,"5,619"
Putnam County,"5,611"
Gallatin County,"5,212"
Scott County,"5,053"
Calhoun County,"4,894"
Pope County,"4,157"
Hardin County,"4,024"
